STATE,DISTRICT,ASSESSMENT_UNIT,Rainfall_mm,Recharge_Worthy_Area_Command_ha,Recharge_Worthy_Area_Total_ha,Hilly_Area_ha,Total_Geographical_Area_ha,Annual_Ground_Water_Recharge_ham,Environmental_Flows_ham,Annual_Extractable_Ground_Water_Resource_ham,Extraction_Domestic_ham,Extraction_Industrial_ham,Extraction_Irrigation_ham,Total_Ground_Water_Extraction_ham,Stage_of_Ground_Water_Extraction_pct,Allocation_Domestic_2025_ham,Net_GW_Availability_Future_Use_ham,Major_Quality_Parameters,Other_Quality_Parameters
Tamilnadu,Tirupathur,District Summary,828.99,0.0,110880.69,5300.08,116180.78,10407.96,1034.8,9373.17,510.75,51.38,12664.46,13226.6,141.05,2098.06,136.87,,
Tamilnadu,Tiruppur,District Summary,630.83,0.0,471390.79,1238.38,472629.17,66121.76,6445.68,59676.08,584.84,568.86,49485.37,50638.98,84.78,3343.26,14709.22,,
Tamilnadu,Tiruvallur,District Summary,1250.62,0.0,304218.94,19736.01,323954.94,86413.64,7442.88,78970.77,2139.26,1242.63,39473.49,42855.42,54.98,5886.41,31340.33,,
Tamilnadu,Tiruvannamalai,District Summary,1071.26,0.0,478395.19,1010.19,479405.37,116951.31,11099.36,105851.94,7851.08,1619.44,79809.02,89279.52,84.41,8308.88,21234.82,,
Tamilnadu,Vellore,District Summary,968.82,0.0,131858.31,331.0,132023.81,18596.72,1841.98,16754.74,1586.07,309.0,18483.54,20378.61,121.62,2886.61,656.29,,
Tamilnadu,Villupuram,District Summary,1004.91,0.0,377228.46,1940.96,379169.43,103771.78,9822.6,93949.17,1652.42,36.52,79411.7,81100.64,86.33,3626.96,15671.14,,
Tamilnadu,Virudhunagar,District Summary,785.53,0.0,400189.04,32752.1,432941.14,70245.84,6782.72,63463.11,460.64,961.33,36213.22,37635.21,60.06,1151.55,26584.61,,
Telangana,Adilabad,District Summary,1215.8,17592.5,380948.5,34351.5,415300.0,58701.08,5570.1,53130.9,3007.85,287.82,16877.96,20173.64,38.06,3653.4,32963.39,,
Telangana,Bhadradri Kothagudem,District Summary,1188.2,92482.1,710843.38,37391.21,748234.58,110476.22,10564.28,99911.9,4247.01,3585.75,24463.44,32296.22,32.32,4503.24,70251.82,,
Telangana,Hanumakonda,District Summary,982.94,81337.77,160484.84,6936.77,167421.61,53124.56,5207.3,47917.28,1703.61,952.33,26395.48,29051.39,60.62,1703.6,20105.66,,
Telangana,Hyderabad,District Summary,829.1,0.0,21782.0,0.0,21782.0,6598.26,613.02,5985.24,5598.55,415.8,0.0,6014.34,100.56,5962.35,960.12,,
Telangana,Jagtial,District Summary,1022.99,202851.38,266715.32,31763.9,298479.22,67269.24,6589.63,60679.61,301.86,595.7,21989.84,22887.62,38.05,1913.44,36237.88,,
Telangana,Jangaon,District Summary,893.62,83172.0,210713.0,4657.0,215370.0,39718.49,3589.22,36129.32,1454.3,495.63,19243.26,21193.3,58.62,1693.36,14854.94,,
Telangana,Jayashankar Bhupalapally,District Summary,1070.44,89251.54,230520.23,5781.08,236301.31,48203.48,4597.1,43606.35,1010.84,1058.52,16634.99,18704.39,42.9,1035.47,25459.72,,
Telangana,Jogulamba Gadwal,District Summary,578.02,189010.14,260368.9,672.1,261041.0,44332.38,4282.43,40049.97,373.26,137.86,12334.93,12845.96,32.33,712.77,27225.88,,
Telangana,Kamareddy,District Summary,1001.71,30836.24,348831.61,17845.74,366677.35,70180.14,6647.53,63532.6,1024.34,669.76,31004.34,32698.57,51.49,2151.38,32939.12,,
Telangana,Karimnagar,District Summary,906.12,153428.16,206696.12,4285.8,210981.92,96288.74,9449.76,86839.0,1944.47,1222.99,23278.9,26446.14,30.52,2295.28,60689.69,,
Telangana,Khammam,District Summary,1039.32,241019.52,428158.68,7969.38,436128.06,110888.89,10622.16,100266.7,4003.88,1338.16,38767.74,44109.79,44.08,4519.08,57267.66,,
Telangana,Komarambheem Asifabad,District Summary,1145.07,87242.0,376816.0,52728.0,429544.0,64346.74,6073.74,58273.0,404.96,433.96,9864.3,10703.12,18.43,848.54,47123.87,,
Telangana,Mahabubabad,District Summary,1330.4,197161.16,334459.43,9111.8,343571.23,66769.78,6565.54,60204.28,1336.58,1578.92,30433.26,33348.76,55.32,1719.54,27088.83,,
Telangana,Mahabubnagar,District Summary,653.2,0.0,254263.43,11087.17,265350.6,35565.62,3272.48,32293.12,335.36,749.16,22629.62,23714.24,73.37,1351.26,9340.9,,
Telangana,Mancherial,District Summary,1045.6,99403.14,398325.14,12200.86,410526.0,96533.5,8970.17,87563.36,483.2,2090.99,28126.91,30701.3,35.01,587.16,53020.7,,
Telangana,Medak,District Summary,854.48,17414.25,254556.88,20572.63,275129.51,51595.04,4872.68,46722.28,1022.0,1181.88,28955.38,31158.98,66.51,1656.84,16841.58,,
Telangana,Medchal Malkajgiri,District Summary,767.48,0.0,103806.89,4906.21,108713.1,10640.6,1039.69,9600.94,1230.34,1564.24,4187.51,6982.14,72.71,4880.85,3491.26,,
Telangana,Mulug,District Summary,1375.01,53441.53,283730.88,18910.51,302641.39,59934.75,5651.38,54283.36,546.84,101.44,12562.7,13211.12,24.33,841.54,38487.32,,
Telangana,Nagarkurnool,District Summary,665.18,213412.19,613221.57,22618.94,635840.52,88691.64,8500.96,80190.76,1480.01,406.88,31553.85,33440.76,41.86,1700.8,47499.31,,
Telangana,Nalgonda,District Summary,697.22,345271.0,704673.0,7430.0,712103.0,131525.82,12731.93,118793.86,5233.93,4351.2,50613.37,60198.5,50.8,5233.93,61930.34,,
Telangana,Narayanpet,District Summary,579.89,74243.26,231810.98,0.0,231810.98,31267.46,3005.16,28262.29,206.11,436.24,10874.5,11516.6,40.94,1196.16,16209.56,,
Telangana,Nirmal,District Summary,1055.64,62502.67,326437.21,36391.79,362829.0,72900.8,6852.48,66048.22,1117.58,706.7,22601.43,24425.82,36.97,1475.61,41622.64,,
Telangana,Nizamabad,District Summary,987.7,227378.16,412991.03,14718.8,427709.83,107353.4,10066.38,97287.03,1930.16,389.21,50084.96,52404.34,53.92,3300.77,37925.94,,
Telangana,Peddapalle,District Summary,1013.63,113952.91,194064.19,22754.5,216818.69,50846.72,4852.72,45994.0,1221.64,1587.6,18441.36,21250.61,46.18,1874.22,25038.53,,
Telangana,Rajanna Siricilla,District Summary,1015.98,0.0,173139.23,17242.77,190382.0,48151.76,4544.03,43607.76,117.86,1094.44,27380.43,28592.66,65.76,239.99,15266.72,,
Telangana,Rangareddy,District Summary,714.04,0.0,482697.85,22175.57,504873.42,56840.62,5472.36,51368.28,3975.24,1153.22,29047.88,34175.57,66.54,5541.5,18662.76,,
